Bluetooth.apk               蓝牙
Browser.apk                 浏览器
Calculator.apk              计算器
Calendar.apk                日历
Camera.apk                  相机
Contacts.apk                通讯录
DeskClock.apk               闹钟
Email.apk                   邮件
FileManager.apk             文件管理器
GenieWidget.apk             天气与新闻
LauncherPro.apk             桌面
Mms.apk                     信息
Music.apk                   音乐
NetworkLocation.apk         网络位置
PackageInstaller.apk        程序安装
Phone.apk                   电话
Settings.apk                系统设置
SoundRecorder.apk           录音机
Superuser.apk               授权程序
VoiceSearch.apk             语音搜索
